RNA,Locus
XM_021558409.2,LOC110486649
XM_036941354.1,LOC110486650
XM_021558410.2,LOC110486650
XM_036941355.1,LOC110486650
XM_021558411.2,LOC110486651
XM_021558412.2,LOC110486652
XM_021558413.2,LOC110486652
XM_036941359.1,LOC110486653
XM_036941361.1,LOC110486653
XM_036941364.1,LOC110486653
XM_036941366.1,LOC110486653
XM_036941372.1,LOC110486653
XM_036941362.1,LOC110486653
XM_036941365.1,LOC110486653
XM_036941367.1,LOC110486653
XM_036941369.1,LOC110486653
XM_036941368.1,LOC110486653
XM_036941370.1,LOC110486653
XM_036941371.1,LOC110486653
XM_036941373.1,LOC110486653
XM_036941356.1,LOC110486653
XM_036941357.1,LOC110486653
XM_036941358.1,LOC110486653
XM_036941360.1,LOC110486653
XM_036941375.1,LOC110486654
XM_021558422.2,LOC110486655
XM_021558421.2,LOC110486655
XM_021558419.2,LOC110486655
XM_021558423.2,LOC110486655
XM_036941376.1,LOC110486656
XM_036941377.1,LOC110486656
XM_036941380.1,LOC110486657
XM_036941378.1,LOC110486657
XR_005035576.1,LOC110486658
XR_005035844.1,LOC118938637
XR_005035843.1,LOC118938636
XR_005035842.1,LOC118938635
XM_036939760.1,LOC110485205
XM_021558428.2,LOC110486659
XM_021558427.2,LOC110486659
XR_002468288.2,LOC110487553
XM_036941381.1,LOC110486660
XM_036941382.1,LOC110486660
XM_021558431.2,LOC110486662
XM_021558430.2,LOC110486661
XR_005035577.1,LOC110486665
XM_021558433.2,LOC110486665
XM_036941384.1,LOC118936277
XM_036939762.1,LOC110485206
XM_036941385.1,LOC110486671
XM_021558440.2,LOC110486671
XM_021558437.2,LOC110486668
XM_021558439.2,LOC110486670
XM_021558443.2,LOC110486673
XM_021558442.2,LOC110486672
XM_036941387.1,LOC110486672
XM_021558441.2,LOC110486672
XM_036941389.1,rusf1
XM_036941390.1,rusf1
XR_002468097.2,LOC110486678
XM_021558445.2,prr14
XM_036941388.1,prr14
XM_021558447.2,cd2bp2
NM_001124679.1,annotated by transcript or proteomic data
XM_021558448.2,LOC110486679
XM_021558449.2,LOC110486679
XM_021558451.2,hsd3b7
XM_036941392.1,setd1a
XM_036941393.1,setd1a
XM_036941391.1,setd1a
XM_021558452.2,LOC110486683
XM_021558453.2,LOC110486684
NM_001124676.1,annotated by transcript or proteomic data
XM_021558456.2,LOC100136168
XM_036941395.1,LOC110486686
XM_036941396.1,LOC110486687
XM_021558458.2,LOC110486687
XM_021558461.2,LOC110486688
XM_021558460.2,LOC110486688
XM_021558462.2,LOC110486690
XM_021558463.2,LOC110486690
XM_021558466.2,LOC110486690
XM_021558464.2,LOC110486690
XM_021558467.2,LOC110486690
XM_021558468.2,LOC110486690
XM_036941401.1,LOC110486690
XM_036941402.1,LOC110486690
XM_021558470.2,LOC110486692
XM_036941399.1,LOC110486693
XM_036941400.1,LOC110486693
XM_036941397.1,LOC110486693
XM_036941398.1,LOC110486693
XR_005035578.1,LOC118938314
XM_021558469.2,LOC110486691
XM_036941403.1,LOC110486695
XM_021558473.2,LOC110486695
XM_021558474.2,LOC110486695
XM_021558475.2,LOC110486696
NM_001246328.1,annotated by transcript or proteomic data
XM_021558476.2,LOC110486697
XM_036939763.1,LOC118938084
XR_005035579.1,LOC110486698
XM_036941404.1,LOC110486698
XM_021558479.2,LOC110486699
XR_005035580.1,si:ch211-214j24.15
XM_036941405.1,si:ch211-214j24.15
XM_021558480.2,si:ch211-214j24.15
XR_005035581.1,LOC110486702
NM_001124717.2,annotated by transcript or proteomic data
XM_021558485.2,LOC110486704
XM_021558486.2,LOC110486704
XM_021558484.2,LOC110486704
XM_021558482.2,LOC110486704
XM_021558483.2,LOC110486704
XR_005035582.1,LOC110486708
XM_036941408.1,LOC110486708
XM_021558492.2,LOC110486708
XM_021558495.2,LOC110486708
XM_021558494.2,LOC110486708
XM_021558497.2,LOC110486708
XM_021558498.2,LOC110486708
XM_036941409.1,LOC110486708
XM_021558499.2,LOC110486710
XM_021558491.2,LOC110486707
XM_021558488.2,LOC110486706
XM_036941411.1,LOC110486706
XM_021558490.2,LOC110486706
XM_021558500.2,LOC110486711
XM_036941412.1,LOC110486711
XM_021558503.2,LOC110486712
XM_021558504.2,LOC110486713
XM_021558505.2,LOC110486714
XM_021558506.2,LOC110486715
XM_021558507.2,LOC110486716
XM_021558508.2,LOC110486716
XM_021558517.2,LOC110486720
XM_036941415.1,LOC110486718
XM_036941414.1,LOC110486718
XM_036941416.1,LOC110486718
XR_005035583.1,LOC110486717
XM_021558511.2,LOC110486717
XM_021558510.2,LOC110486717
XM_021558516.2,LOC110486719
XM_021558518.2,LOC110486721
XM_036941417.1,LOC110486721
XM_021558521.2,LOC110486722
XM_021558522.2,LOC110486723
XM_036941420.1,LOC110485208
XM_036941419.1,LOC110485208
XM_021558541.2,LOC110486728
XM_036941422.1,dnm2a
XM_036941423.1,dnm2a
XM_036941427.1,dnm2a
XM_036941425.1,dnm2a
XM_036941421.1,dnm2a
XM_036941424.1,dnm2a
XM_036941429.1,dnm2a
XM_036941426.1,dnm2a
XM_036941428.1,dnm2a
XR_005035584.1,LOC118938315
XM_036941431.1,LOC110486730
XM_021558543.2,LOC110486729
XM_036941432.1,LOC110485209
XR_002468101.2,LOC110486733
XM_036941434.1,LOC110485210
XM_036941435.1,LOC110485210
XM_036941436.1,LOC110485210
XM_036941439.1,LOC110486734
XM_021558556.2,LOC110486734
XM_021558555.2,LOC110486734
XM_021558557.2,LOC110486734
XM_036941438.1,LOC110486734
XM_036941437.1,LOC110486734
XM_036941440.1,LOC110486735
XM_021558558.2,LOC110486735
XM_021559466.2,LOC110487554
XM_036941443.1,LOC110486737
XM_036941441.1,LOC110486737
XM_036941442.1,LOC110486737
XM_036941444.1,LOC110486738
XM_021558560.2,LOC110486738
XM_021558563.2,LOC110486740
XM_021558564.2,LOC110486741
XM_036941445.1,LOC110486742
XM_021558567.2,LOC110486742
XM_021558566.2,LOC110486742
XM_021558565.2,LOC110486742
XM_021558568.2,LOC110486742
XM_021558570.2,LOC110486742
XM_021558569.2,LOC110486742
XR_005035585.1,LOC110486743
XR_005035586.1,LOC110486743
XM_021558572.2,LOC110486743
XR_005035587.1,LOC118938316
XR_005035588.1,LOC118938317
XM_021558574.2,timm29
XM_021558573.2,LOC110486745
XM_036941447.1,carm1
XM_036941446.1,carm1
XM_021558579.2,LOC110486760
XM_021558577.2,LOC110486751
XM_036941454.1,LOC110486749
XM_021558576.2,LOC110486749
XM_021558575.2,LOC110486749
XR_005035589.1,LOC118938318
XM_036941448.1,LOC118938318
XR_002468108.2,LOC110486763
XM_036941452.1,LOC110485215
XM_036941451.1,LOC110485215
XM_036941450.1,LOC110485215
XM_036941449.1,LOC110485215
XM_036941453.1,LOC110485215
XR_005035767.1,LOC118938556
XM_021558580.2,LOC110486764
XM_021558581.2,LOC110486764
XM_021558582.2,LOC110486765
XM_036939765.1,LOC110485216
XR_005035591.1,LOC110538721
XR_005035590.1,LOC110538721
XM_036941457.1,LOC110486767
XM_036941456.1,LOC110486767
XM_036941463.1,LOC110485217
XM_036941461.1,LOC110486769
XM_036941459.1,LOC110486769
XM_036941460.1,LOC110486769
XM_036941458.1,LOC110486769
XR_005035768.1,LOC118938557
XM_021558588.2,LOC110486773
XR_002468113.2,LOC110486772
XM_036941464.1,LOC110486774
XM_036941466.1,LOC110486774
XM_036941465.1,LOC110486774
XM_036941467.1,LOC110486774
XR_005035595.1,LOC110486776
XR_005035593.1,LOC110486776
XR_005035594.1,LOC110486776
XM_036941468.1,LOC110486776
XM_036941469.1,LOC110486776
NM_001160662.1,annotated by transcript or proteomic data
XM_036941471.1,LOC110539012
XM_036941470.1,LOC110539012
XM_036941474.1,LOC110485222
XM_036941472.1,LOC110485222
XM_036941475.1,LOC110485222
XM_036941473.1,LOC110485222
XM_036941476.1,LOC110486782
XM_036941477.1,LOC110518612
XR_005035597.1,LOC118938324
XR_005035596.1,LOC118938324
XM_036941478.1,LOC110538731
XM_036941485.1,LOC110539023
XM_036941484.1,LOC110539023
XM_036941482.1,LOC110539023
XM_036941481.1,LOC110539023
XM_036941483.1,LOC110539023
XM_036941480.1,LOC110539023
XM_036941486.1,LOC118938325
XM_036941493.1,LOC110538743
XM_036941494.1,LOC110538743
XM_036941495.1,LOC110538743
XM_036941492.1,LOC110538743
XM_036941498.1,LOC110538743
XM_036941497.1,LOC110538743
XM_021625707.2,LOC110538745
XM_036941491.1,LOC110538736
XM_036941490.1,LOC110538736
XM_036941487.1,mfsd13al
XM_036941489.1,cdr2a
XR_005035886.1,LOC118938680
XR_005035854.1,LOC118938648
XR_005035865.1,LOC118938659
XR_005035876.1,LOC118938670
XR_005035887.1,LOC118938681
XR_005035774.1,LOC118938565
XR_005035769.1,LOC118938560
XR_005035784.1,LOC118938576
XR_005035883.1,LOC118938677
XR_005035795.1,LOC118938587
XR_005035806.1,LOC118938598
XR_005035817.1,LOC118938609
XR_005035827.1,LOC118938620
XR_005035838.1,LOC118938631
XR_005035848.1,LOC118938641
XR_005035852.1,LOC118938646
XR_005035853.1,LOC118938647
XR_005035855.1,LOC118938649
XR_005035856.1,LOC118938650
XR_005035857.1,LOC118938651
XR_005035888.1,LOC118938682
XR_005035858.1,LOC118938652
XR_005035885.1,LOC118938679
XR_005035859.1,LOC118938653
XR_005035860.1,LOC118938654
XR_005035861.1,LOC118938655
XR_005035862.1,LOC118938656
XR_005035863.1,LOC118938657
XR_005035864.1,LOC118938658
XR_005035884.1,LOC118938678
XR_005035866.1,LOC118938660
XR_005035867.1,LOC118938661
XR_005035868.1,LOC118938662
XR_005035869.1,LOC118938663
XR_005035870.1,LOC118938664
XR_005035871.1,LOC118938665
XR_005035872.1,LOC118938666
XR_005035873.1,LOC118938667
XR_005035874.1,LOC118938668
XR_005035875.1,LOC118938669
XR_005035877.1,LOC118938671
XR_005035878.1,LOC118938672
XR_005035879.1,LOC118938673
XR_005035880.1,LOC118938674
XR_005035881.1,LOC118938675
XR_005035882.1,LOC118938676
trnal,tRNA
XM_036941499.1,sdr42e2
XR_005035598.1,vwa3a
XM_036941501.1,vwa3a
XM_036941500.1,vwa3a
XM_036941502.1,vwa3a
XM_036941504.1,mosmoa
XR_005035599.1,LOC110538749
XM_021625714.2,LOC110538749
XM_036941505.1,LOC110486787
XM_036939766.1,LOC110515633
XM_036941506.1,LOC110515632
XM_021558608.2,LOC110486790
XM_021558611.2,LOC110486792
XM_021558610.2,LOC110486791
XM_036941510.1,LOC110486793
XM_036941509.1,LOC110486793
XM_036941511.1,LOC110486793
XM_036941507.1,LOC110486793
XM_021558620.2,LOC110486794
XM_021558619.2,LOC110486794
XR_002468118.2,LOC110486795
XR_002468117.2,LOC110486795
XR_002468119.2,LOC110486795
XM_021558621.2,LOC110486795
XM_036941512.1,cyth3b
XM_036941513.1,cacng5b
XM_036941514.1,si:ch73-374l24.1
XR_005035600.1,LOC110538759
XR_005035601.1,LOC110538759
XM_036941515.1,cep112
XM_036941516.1,cep112
XM_036941517.1,axin2
XM_036941520.1,axin2
XM_036941518.1,axin2
XM_036941519.1,axin2
XM_036941522.1,tex2
XM_036941521.1,tex2
XR_005035819.1,LOC118938612
XR_002475811.2,LOC110538769
XR_005035602.1,LOC110538769
XM_036941523.1,LOC110538772
XM_036941524.1,LOC110538772
XM_036941525.1,samd9l
XM_036941528.1,samd9l
XM_036941526.1,samd9l
XM_036941527.1,samd9l
XM_036941532.1,LOC118936451
XM_036941530.1,LOC118936451
XM_036941529.1,LOC118936451
XM_036941531.1,LOC118936451
XR_005035603.1,LOC118938328
XM_036941533.1,LOC118938328
XM_036941534.1,LOC118938328
XM_036941536.1,LOC110515422
XM_036939767.1,LOC118938094
XM_036941537.1,LOC110486813
XM_036941538.1,LOC110486816
XM_036941539.1,LOC110486811
XM_036941540.1,LOC118938329
XM_036939769.1,LOC110486825
XM_036941541.1,LOC110485227
XM_036941544.1,LOC110485227
XM_036941545.1,LOC110485227
XM_036941546.1,LOC110485227
XM_036941547.1,LOC110485227
XM_036941542.1,LOC110485227
XM_036941548.1,LOC110485228
XM_036941550.1,LOC110486827
XM_036941549.1,LOC110486827
XM_036941551.1,LOC110486827
XM_036941552.1,LOC110486827
trnaa,tRNA
XM_036939770.1,LOC118938095
XM_036941555.1,LOC110486831
XM_036941554.1,LOC110486831
XM_036941556.1,LOC110486830
XM_036941557.1,narfl
XM_036941558.1,narfl
XM_021558668.2,LOC110486844
XM_036941559.1,LOC110486844
XM_021558671.2,LOC110486846
XM_021556291.2,LOC110485232
XM_036941560.1,LOC118938330
XM_036941561.1,LOC118938330
XM_021558657.2,LOC110486834
XM_036941562.1,LOC110486836
XM_036941564.1,LOC110514491
XM_036941563.1,LOC110514491
XM_036941565.1,LOC110516592
XM_021558673.2,LOC110486847
XM_036941566.1,aimp2
XM_036941567.1,aimp2
XM_021558675.2,LOC110486849
XM_021558678.2,pvalb1
NM_001195410.1,annotated by transcript or proteomic data
XM_036941582.1,LOC118936431
XM_036941571.1,LOC110539040
XM_036941572.1,LOC110539040
XR_005035605.1,LOC110519575
XM_036941575.1,LOC110519575
XM_036941577.1,LOC110519575
XM_036941576.1,LOC110519575
XR_005035608.1,LOC110538788
XR_005035609.1,LOC110538788
XR_005035607.1,LOC110538788
XR_005035606.1,LOC110538788
XM_036941586.1,LOC110538788
XM_036941580.1,LOC110485238
XM_036941579.1,LOC110485238
XM_036941581.1,LOC110538789
XM_036941578.1,LOC110538766
XM_036941584.1,LOC110486851
XM_036941583.1,LOC110486851
XM_036941568.1,LOC110485236
XM_036941569.1,LOC110485236
XR_005035604.1,LOC110485237
XM_036941573.1,LOC110485237
XM_036941574.1,LOC110485237
XM_036941585.1,LOC110486855
XM_021558682.2,LOC110486855
XM_036941588.1,LOC110539043
XM_036941587.1,LOC110539043
XM_036941589.1,LOC110515093
XM_036941590.1,LOC110538765
XM_036939771.1,LOC118938096
XM_036941591.1,LOC118938331
XR_005035610.1,LOC110486859
XM_036941593.1,LOC110486859
XM_036941592.1,LOC110486859
XR_005035611.1,LOC110486865
XM_036941598.1,LOC110486860
XM_036941599.1,LOC110486860
XM_036941600.1,LOC110486860
XM_036941597.1,LOC110486860
XM_036941596.1,LOC110486860
XM_036941595.1,LOC110486860
XM_036941601.1,LOC110517037
XM_036941602.1,LOC110516169
XM_036941603.1,LOC110486862
XM_021558689.2,LOC110486862
XR_005035612.1,LOC110486894
XM_036941604.1,LOC110486894
XM_036941607.1,LOC110486876
XM_036941606.1,LOC110486876
XM_036941609.1,LOC110486876
XM_036941608.1,LOC110486876
XM_036941612.1,LOC110515850
XM_036941611.1,LOC110515850
XR_005035820.1,LOC118938613
NM_001160603.2,annotated by transcript or proteomic data
XM_036941610.1,LOC110486871
XR_005035775.1,LOC118938566
XM_036939772.1,LOC110485244
XM_021558706.2,LOC110486874
XM_021558721.2,LOC110486882
XM_021558722.2,LOC110486882
XM_036941617.1,LOC110486881
XM_036941614.1,LOC110486867
XM_036941613.1,LOC110486867
XM_036941616.1,LOC110516439
XM_021558745.2,LOC110486893
XM_036941618.1,LOC110486893
XM_036941620.1,LOC110486888
XM_036941621.1,LOC110486888
XM_036941625.1,LOC110486895
XM_036941628.1,LOC110486895
XM_036941624.1,LOC110486895
XM_036941626.1,LOC110486895
XM_036941623.1,LOC110486895
XM_036941622.1,LOC110486895
XM_036941627.1,LOC110486895
XM_036941632.1,LOC118936313
XM_036941633.1,LOC118936313
XM_036941634.1,LOC118936313
XM_021558751.2,LOC118936313
XR_005035613.1,LOC110486898
XM_036941630.1,LOC110486898
XM_036941631.1,LOC110486898
XM_036941637.1,LOC118936426
XM_036941636.1,LOC110486905
XM_036941635.1,LOC110486905
XM_036941638.1,LOC110516540
XM_036941643.1,LOC110516540
XM_036941642.1,LOC110516540
XM_036941639.1,LOC110516540
XM_036941640.1,LOC110516540
XM_036941646.1,LOC110516540
XM_036941644.1,LOC110516540
XM_036941645.1,LOC110516540
XM_036941648.1,LOC110514101
XM_036941649.1,LOC110514101
XM_036941647.1,LOC110514101
XM_036941650.1,LOC110514101
XM_036941653.1,LOC118936526
XM_036941652.1,LOC118936526
XM_021558772.2,LOC110486909
XM_036941654.1,c13h17orf75
XM_036941655.1,c13h17orf75
XM_036941669.1,LOC118938332
XM_036941667.1,LOC110486912
XM_036941665.1,LOC110486912
XM_036941663.1,LOC110486912
XM_036941664.1,LOC110486912
XM_036941666.1,LOC110486912
XM_021558780.2,LOC110486915
XM_021558779.2,LOC110486915
XM_036941668.1,LOC110486915
XM_036941657.1,LOC110486913
XM_036941656.1,LOC110486913
XM_036941661.1,LOC110486914
XM_036941658.1,LOC110486914
XM_036941662.1,LOC110486914
XM_036941660.1,LOC110486914
XM_036941671.1,rfx1a
XM_036941670.1,rfx1a
NM_001281348.1,annotated by transcript or proteomic data
XM_036941675.1,LOC110486918
XM_036941674.1,LOC110486918
XM_036941673.1,LOC110486918
XM_036941672.1,LOC110486918
XM_036941677.1,LOC110486918
XM_036941678.1,LOC110486936
XM_036941679.1,LOC110486936
XR_005035831.1,LOC118938624
XR_005035833.1,LOC118938626
XR_005035830.1,LOC118938623
XR_005035832.1,LOC118938625
XM_036941680.1,LOC110486928
XM_021558802.2,LOC110486935
XM_036941682.1,LOC110486929
XM_036941683.1,LOC110486920
XR_005035889.1,LOC118938684
XR_005035847.1,LOC118938640
XR_005035851.1,LOC118938644
XR_005035770.1,LOC118938561
XR_005035849.1,LOC118938642
XR_005035771.1,LOC118938562
XR_005035850.1,LOC118938643
XM_036941684.1,LOC110512521
XM_021558795.2,LOC110486927
XR_005035614.1,LOC110485250
XM_036941685.1,LOC110485250
XM_036941691.1,LOC110486938
XM_036941688.1,LOC110486938
XM_036941692.1,LOC110486938
XM_036941689.1,LOC110486938
XM_036941693.1,LOC110486938
XM_036941694.1,LOC110486938
XM_036941687.1,LOC110486938
XM_036941690.1,LOC110486938
XM_036941686.1,LOC110486938
XM_036939773.1,LOC110486937
XM_036941695.1,LOC110486945
XM_036941697.1,LOC110514297
XM_036941696.1,LOC110514297
XM_036941701.1,LOC110514297
XM_036941700.1,LOC110514297
XM_036941699.1,LOC110514297
XM_036941698.1,LOC110514297
XM_036939774.1,LOC118938097
XM_036941702.1,iqck
XM_036941710.1,LOC110486946
XM_036941711.1,LOC110486946
XM_036941708.1,LOC110486946
XM_036941704.1,LOC110486946
XM_036941707.1,LOC110486946
XM_036941706.1,LOC110486946
XM_036941705.1,LOC110486946
XM_036941703.1,LOC110486946
XM_036941712.1,LOC110486947
XR_005035615.1,LOC110538558
XM_036941714.1,LOC110538558
XM_036941715.1,LOC110538558
XM_036941713.1,LOC110538558
XR_005035616.1,LOC110538556
XM_036941716.1,LOC110538555
XM_036941717.1,LOC110538555
XM_036941718.1,LOC110538555
XM_036941723.1,LOC110514412
XM_036941722.1,LOC110514412
XM_036941719.1,LOC110486955
XM_036941720.1,LOC110486955
XM_021592786.2,LOC110512346
XM_036941724.1,LOC110512346
XM_036941733.1,LOC110486950
XM_036941725.1,LOC110486950
XM_036941728.1,LOC110486950
XM_036941732.1,LOC110486950
XM_036941726.1,LOC110486950
XM_036941729.1,LOC110486950
XM_036941727.1,LOC110486950
XM_036941730.1,LOC110486950
XM_036941731.1,LOC110486950
XR_005035617.1,LOC118938334
XR_005035618.1,LOC118938335
XM_036941734.1,LOC110518424
XM_036941735.1,LOC110518424
XM_036941736.1,LOC110518424
XM_036941737.1,LOC110518424
XR_005035621.1,LOC100136119
XR_005035619.1,LOC100136119
XR_005035622.1,LOC100136119
XR_005035620.1,LOC100136119
XM_036941738.1,LOC100136119
XM_036941741.1,prkar1b
XM_036941740.1,LOC110487024
XM_036941739.1,LOC110487024
XM_021558909.2,LOC110487014
XM_021558910.2,LOC110487014
XM_036941742.1,LOC110487018
XM_036941747.1,LOC110485272
XM_036941746.1,LOC110485268
XM_036941744.1,LOC110485268
XM_036941745.1,LOC110485268
XM_036941743.1,LOC110485268
XM_036941749.1,LOC110516720
XM_036941748.1,LOC110516720
XM_036941751.1,LOC110487012
XM_036941750.1,LOC110487012
XM_036941755.1,LOC118938337
XM_036941754.1,LOC118938337
XM_036941752.1,LOC118938337
XM_036941756.1,LOC118938338
XM_036941763.1,LOC110487009
XM_036941757.1,LOC110515614
XM_036941758.1,LOC110512482
XM_036941759.1,LOC110486998
XM_036941761.1,LOC110486998
XM_036941760.1,LOC110486998
XM_036941762.1,LOC110512532
XM_036941764.1,LOC110516349
XM_021558875.2,LOC110486993
XM_021558877.2,LOC110486993
XM_036941766.1,LOC110486993
XM_036941769.1,LOC110486993
XM_036941771.1,LOC110486993
XM_036941768.1,LOC110486993
XM_036941770.1,LOC110486993
XM_021558872.2,LOC110486993
XM_036941765.1,LOC110486993
XM_036941767.1,LOC110486993
XM_036941774.1,LOC110485258
XM_036941773.1,LOC110485258
XM_036941775.1,LOC110485257
XM_036941776.1,LOC110511678
XM_036941780.1,LOC110486982
XM_036941781.1,LOC118938340
XR_005035624.1,LOC110486990
XM_021558866.2,LOC110486985
XM_036941779.1,LOC110486987
XM_036941778.1,LOC110486987
XR_005035625.1,LOC118938341
XM_036941777.1,LOC110511221
XM_036941783.1,LOC118936527
XM_036941782.1,LOC118936527
XM_036941784.1,LOC110486981
XM_036941785.1,LOC110486979
XM_036941786.1,LOC110486979
XM_036941787.1,LOC110515874
XM_036941788.1,LOC110515874
XM_036941789.1,LOC110515874
XM_036941790.1,LOC110515874
XM_036941791.1,LOC110486976
NM_001124546.1,annotated by transcript or proteomic data
XM_021558846.2,LOC110486975
XM_021558839.2,LOC110486968
XM_036941792.1,LOC110514624
XM_036941793.1,LOC110514624
XM_036941795.1,LOC110538808
XM_036941794.1,LOC110538808
XR_005035626.1,LOC110538832
XM_036941797.1,LOC110486965
XM_036941796.1,LOC110486965
XM_036939775.1,LOC118938098
XM_036941806.1,LOC110512085
XM_036941799.1,LOC110512085
XM_036941798.1,LOC110512085
XM_036941804.1,LOC110512085
XM_036941803.1,LOC110512085
XM_036941800.1,LOC110512085
XM_036941802.1,LOC110512085
XM_036941805.1,LOC110512085
XM_036941807.1,LOC110512085
XM_021558941.2,LOC110487040
XM_036941808.1,LOC110487040
XM_021558939.2,LOC110487040
XM_036941809.1,LOC110487040
XM_036941811.1,LOC110487040
XR_005035627.1,LOC110487048
XM_036941812.1,LOC110487033
XM_036941813.1,LOC110487033
XM_036941814.1,LOC110487033
XR_005035629.1,LOC110487041
XR_005035628.1,LOC110487041
XM_036941815.1,LOC110487041
XM_036941816.1,LOC110487041
XM_036941817.1,LOC110487058
XM_036941818.1,LOC110487058
XM_036941819.1,LOC118938342
XM_036941820.1,LOC110485304
XM_036941821.1,LOC110487059
XR_005035630.1,LOC110487063
XM_021558970.2,LOC110487063
XM_036942628.1,LOC110487061
XM_036941822.1,LOC110485307
XM_036941824.1,LOC110485307
XM_036941827.1,LOC118938343
XM_036941828.1,LOC118938343
XM_036941825.1,LOC110487067
XM_021558980.2,LOC110487067
XM_021558984.2,LOC110487067
XM_036941826.1,LOC110487067
XM_021558985.2,LOC110487067
XM_021558982.2,LOC110487067
XM_036941830.1,LOC110487068
XM_036941831.1,LOC110487068
XM_036941832.1,LOC118938344
XM_036941836.1,LOC110487076
XM_036941834.1,LOC118936370
XM_036941835.1,LOC118938346
XM_036941833.1,LOC118938345
XM_036941838.1,LOC110487064
XM_036941839.1,LOC110538848
XR_005035632.1,LOC110485308
XR_005035631.1,LOC110485308
XM_036941840.1,LOC110485308
XM_036941841.1,LOC110485308
XM_036941842.1,LOC110485308
XM_036941843.1,LOC110485308
XM_036941844.1,LOC110485308
XM_036941845.1,LOC110485308
XM_036941848.1,LOC110487087
XM_036941846.1,LOC110487087
XM_036941847.1,LOC110487087
XM_036941849.1,LOC110487087
XR_005035633.1,LOC118938347
XR_005035635.1,LOC118938347
XR_005035634.1,LOC118938347
XR_005035636.1,LOC118938347
NM_001146168.1,annotated by transcript or proteomic data
XM_036941851.1,LOC110485137
XM_036941852.1,LOC110485137
XM_036941850.1,LOC110485137
XM_036941853.1,LOC118938348
XM_021559074.2,LOC110487151
XM_036941854.1,LOC110486094
XM_036941855.1,LOC110486092
XM_036941861.1,LOC110486089
XM_036941858.1,LOC110486089
XM_036941862.1,LOC110486089
XM_036941860.1,LOC110486089
XM_036941857.1,LOC110486089
XM_036941856.1,LOC110486089
XM_036941863.1,LOC110486089
XM_036939776.1,LOC118938099
XM_021595432.2,LOC110517310
XM_036941864.1,LOC110517310
XM_036941865.1,hid1a
XM_021559012.2,LOC110487088
XM_036941867.1,LOC110487424
XM_036941868.1,LOC110487424
XM_036941869.1,LOC110487424
XM_036941871.1,LOC110487424
XM_036941870.1,LOC110487424
XR_005035637.1,LOC110487153
XM_036941872.1,LOC110487153
XM_036941874.1,LOC110487432
XM_036941873.1,LOC110487432
XM_021556335.2,LOC110485274
XM_036939705.1,fa18b
XM_036939704.1,fa18b
XM_036939703.1,fa18b
NM_001160584.1,annotated by transcript or proteomic data
XM_036939777.1,LOC110485275
XM_021559360.2,LOC110487426
XM_036941876.1,LOC110485277
XM_021559369.2,LOC110487433
XM_021559075.2,LOC110487154
XM_036941877.1,LOC110487439
XM_036941878.1,LOC110487455
XM_036941880.1,LOC110487431
XM_036941881.1,LOC110487431
XM_036941882.1,LOC110487417
XM_036941883.1,LOC110487417
XM_036941884.1,LOC110487417
XM_036941885.1,LOC110487417
XM_036939778.1,LOC118936377
XM_036941886.1,LOC110487418
XM_036941887.1,trub1
XM_036941891.1,LOC110487456
XM_036941889.1,LOC110487456
XM_036941890.1,LOC110487456
XM_036941892.1,LOC110487444
XM_036941895.1,LOC118936528
XR_005035641.1,LOC118938350
XM_036939780.1,LOC110487460
XM_036941902.1,LOC110487429
XM_021559374.2,LOC110487436
XM_021559372.2,LOC110487436
XM_021559373.2,LOC110487436
XM_021559384.2,LOC110487446
XR_005035640.1,LOC110511852
XM_036941904.1,LOC110511852
XM_036941905.1,LOC110511852
XR_005035638.1,LOC110487454
XM_036941897.1,LOC110487454
XM_036941894.1,LOC110487419
XM_036939781.1,LOC118936516
XM_036941903.1,LOC110487028
XM_021558925.2,LOC110487030
XM_036941900.1,LOC110487029
XR_005035642.1,LOC118938351
XR_005035639.1,slc6a16a
XM_036941898.1,slc6a16a
XM_036941899.1,slc6a16a
XM_036941901.1,LOC110487476
XM_036939782.1,LOC110516969
XM_036941906.1,LOC118938349
XM_036941893.1,LOC110487471
XR_005035645.1,LOC110487484
XR_005035644.1,LOC110487484
XR_005035643.1,LOC110487484
XM_036941907.1,LOC110487484
XM_021559412.2,LOC110487478
XR_005035646.1,LOC110487482
XR_005035647.1,LOC110487482
XM_036941908.1,LOC110487482
XM_036941909.1,LOC110487482
XM_036941910.1,LOC110487482
XM_036941911.1,LOC110487482
XM_036941912.1,LOC110485323
XM_036941913.1,LOC110485323
XM_036941914.1,LOC110485323
XM_036941940.1,LOC110487491
XM_036941939.1,LOC110487491
XM_036942524.1,LOC118938485
XR_005035648.1,LOC110487494
XM_036941946.1,LOC110487494
XM_036941927.1,LOC110513420
XM_036941935.1,LOC110485284
XM_036941934.1,LOC110485284
XM_036941930.1,LOC110513419
XM_036941929.1,LOC110513418
XM_036941928.1,LOC110513418
XM_036941932.1,LOC110487483
XM_036941931.1,LOC110487483
XM_036941933.1,LOC110487483
XM_036941949.1,LOC110513427
XM_036941915.1,LOC110485289
XM_021559409.2,LOC110487475
XM_036941938.1,LOC110513424
XM_036941945.1,LOC110510722
XM_021591969.2,LOC110510722
XM_021591968.2,LOC110510722
XM_021591971.2,LOC110510722
XM_036941941.1,LOC110511879
XM_036941944.1,LOC110486630
XM_036941926.1,LOC110486629
XM_036941924.1,LOC110486629
XM_036941923.1,LOC110486629
